DATETIME,DATE,HOUR,DAY,TEMP,RELH,WIND,GUST,DIR,QFLG ,SOLAR,PRECIPcum,PRECIP,PEAK,PEAKDIR,DWP
1-1-2012 0:00,1-1-2012,0,1,0,100,1.3,5.4,71,OK,0,0,0,5,82,0
1-1-2012 1:00,1-1-2012,1,1,0,100,2.2,4.5,72,OK,0,0,0,4,72,0
1-1-2012 2:00,1-1-2012,2,1,0.6,98,2.2,4.5,72,OK,0,0,0,4,80,0.28
1-1-2012 3:00,1-1-2012,3,1,1.7,83,2.2,4.9,79,OK,0,0,0,5,70,-0.89
1-1-2012 4:00,1-1-2012,4,1,1.7,81,2.2,4.5,73,OK,0,0,0,4,79,-1.22
1-1-2012 5:00,1-1-2012,5,1,2.2,72,2.7,4.9,69,OK,0,0,0,5,74,-2.28
1-1-2012 6:00,1-1-2012,6,1,3.3,57,3.1,6.3,68,OK,0,0,0,6,66,-4.39
1-1-2012 7:00,1-1-2012,7,1,3.9,45,2.7,5.4,67,OK,0,0,0,5,67,-6.94
1-1-2012 8:00,1-1-2012,8,1,4.4,41,3.1,5.8,66,OK,4,0,0,6,67,-7.67
1-1-2012 9:00,1-1-2012,9,1,7.2,38,4,8.9,70,OK,42,0,0,9,69,-6.17
1-1-2012 10:00,1-1-2012,10,1,9.4,59,4.5,7.6,71,OK,185,0,0,8,69,1.83
1-1-2012 11:00,1-1-2012,11,1,9.4,69,4.5,8.9,73,OK,227,0,0,9,73,4.06
1-1-2012 12:00,1-1-2012,12,1,7.2,78,3.6,10.3,72,OK,98,0,0,10,73,3.67
1-1-2012 13:00,1-1-2012,13,1,8.3,72,4,8.5,75,OK,275,0,0,8,70,3.56
1-1-2012 14:00,1-1-2012,14,1,6.7,88,3.6,8.5,75,OK,124,0.05,0.05,8,78,4.83
1-1-2012 15:00,1-1-2012,15,1,6.7,89,4,8.5,83,OK,104,0.07,0.02,8,91,5
1-1-2012 16:00,1-1-2012,16,1,6.7,88,3.6,10.3,84,OK,82,0.07,0,10,91,4.83
1-1-2012 17:00,1-1-2012,17,1,5.6,94,4.5,9.4,101,OK,9,0.2,0.13,9,83,4.67
1-1-2012 18:00,1-1-2012,18,1,3.3,82,4.9,11.2,117,OK,1,0.2,0,11,110,0.56
1-1-2012 19:00,1-1-2012,19,1,1.1,79,4.9,11.2,106,OK,0,0.2,0,11,107,-2.11
1-1-2012 20:00,1-1-2012,20,1,-0.6,87,4,9.4,108,OK,0,0.2,0,9,99,-2.44
1-1-2012 21:00,1-1-2012,21,1,-1.7,88,4,11.6,115,OK,0,0.2,0,12,80,-3.39
1-1-2012 22:00,1-1-2012,22,1,-2.8,77,4.9,11.2,108,OK,0,0.2,0,11,90,-6.22
1-1-2012 23:00,1-1-2012,23,1,-3.3,91,4.5,12.1,116,OK,0,0.2,0,12,96,-4.61
1-2-2012 0:00,1-2-2012,0,2,-5,94,5.4,12.5,109,OK,0,0.2,0,13,112,-5.83
1-2-2012 1:00,1-2-2012,1,2,-6.7,89,4.9,12.1,112,OK,0,0.2,0,12,119,-8.17
1-2-2012 2:00,1-2-2012,2,2,-7.2,77,4.9,10.7,120,OK,0,0.2,0,11,92,-10.56
1-2-2012 3:00,1-2-2012,3,2,-7.8,76,4.9,9.4,114,OK,0,0.2,0,9,82,-11.28
1-2-2012 4:00,1-2-2012,4,2,-7.8,75,4.5,9.4,119,OK,0,0.2,0,9,94,-11.44
1-2-2012 5:00,1-2-2012,5,2,-8.3,76,4.5,8.5,115,OK,0,0.2,0,8,105,-11.78
1-2-2012 6:00,1-2-2012,6,2,-8.3,80,3.6,9.4,119,OK,0,0.2,0,9,140,-11.17
1-2-2012 7:00,1-2-2012,7,2,-8.3,88,3.1,7.6,114,OK,0,0.2,0,8,94,-9.94
1-2-2012 8:00,1-2-2012,8,2,-8.9,89,3.6,9.8,123,OK,1,0.2,0,10,94,-10.39
1-2-2012 9:00,1-2-2012,9,2,-8.3,89,4.5,8,108,OK,28,0.2,0,8,130,-9.83
1-2-2012 10:00,1-2-2012,10,2,-8.3,88,4,8.9,105,OK,118,0.2,0,9,91,-9.94
1-2-2012 11:00,1-2-2012,11,2,-8.3,88,3.6,9.8,117,OK,115,0.2,0,10,168,-9.94
1-2-2012 12:00,1-2-2012,12,2,-7.8,88,2.7,7.2,119,OK,139,0.2,0,7,93,-9.39
1-2-2012 13:00,1-2-2012,13,2,-7.8,87,2.7,6.3,121,OK,169,0.2,0,6,111,-9.56
1-2-2012 14:00,1-2-2012,14,2,-8.3,88,3.1,8,120,OK,137,0.2,0,8,128,-9.94
1-2-2012 15:00,1-2-2012,15,2,-8.3,89,2.2,6.7,116,OK,108,0.2,0,7,92,-9.83
1-2-2012 16:00,1-2-2012,16,2,-8.9,89,2.7,6.7,124,OK,83,0.2,0,7,85,-10.39
1-2-2012 17:00,1-2-2012,17,2,-9.4,89,3.1,7.2,119,OK,20,0.2,0,7,99,-10.89
1-2-2012 18:00,1-2-2012,18,2,-10,89,3.1,6.7,129,OK,1,0.2,0,7,98,-11.44
1-2-2012 19:00,1-2-2012,19,2,-10,89,2.2,4.5,121,OK,0,0.2,0,4,98,-11.44
1-2-2012 20:00,1-2-2012,20,2,-10.6,88,2.2,6.7,139,OK,0,0.2,0,7,126,-12.17
1-2-2012 21:00,1-2-2012,21,2,-11.1,87,3.1,5.4,136,OK,0,0.2,0,5,92,-12.83
1-2-2012 22:00,1-2-2012,22,2,-11.1,87,2.2,5.4,136,OK,0,0.2,0,5,61,-12.83
1-2-2012 23:00,1-2-2012,23,2,-11.7,87,2.7,6.3,139,OK,0,0.2,0,6,91,-13.39
1-3-2012 0:00,1-3-2012,0,3,-11.7,87,2.2,4.9,131,OK,0,0.2,0,5,91,-13.39
1-3-2012 1:00,1-3-2012,1,3,-11.7,87,2.7,5.4,127,OK,0,0.2,0,5,93,-13.39
1-3-2012 2:00,1-3-2012,2,3,-11.7,86,2.7,5.4,124,OK,0,0.27,0.07,5,97,-13.56
1-3-2012 3:00,1-3-2012,3,3,-11.7,86,2.7,6.3,131,OK,0,0.27,0,6,134,-13.56
1-3-2012 4:00,1-3-2012,4,3,-12.2,86,2.7,5.4,138,OK,0,0.27,0,5,152,-14.06
1-3-2012 5:00,1-3-2012,5,3,-12.2,86,2.7,6.3,138,OK,0,0.27,0,6,100,-14.06
1-3-2012 6:00,1-3-2012,6,3,-12.8,85,3.1,6.7,138,OK,0,0.27,0,7,144,-14.78
1-3-2012 7:00,1-3-2012,7,3,-13.3,85,2.7,6.3,140,OK,0,0.27,0,6,98,-15.33
1-3-2012 8:00,1-3-2012,8,3,-13.3,85,2.2,5.8,140,OK,2,0.27,0,6,92,-15.33
