DATETIME,TEMP,RELH,WIND,GUST,DIR,QFLG ,SOLAR,PRECIPcum,PRECIP,PEAK m/s,PDIR,VOLT volt,DWP
1-1-2010 0:00,-1.7,100,2.2,4.5,308,N/A,0,134.29,0,4,288,12.7,-1.67
1-1-2010 1:00,-2.2,100,2.7,4,317,OK,0,134.29,0,4,298,12.7,-2.22
1-1-2010 2:00,-2.2,100,1.8,6.3,313,OK,0,134.29,0,6,280,12.7,-2.22
1-1-2010 3:00,-2.2,99,2.7,5.4,310,OK,0,134.29,0,5,326,12.7,-2.33
1-1-2010 4:00,-2.8,99,2.2,5.4,317,OK,0,134.29,0,5,285,12.7,-2.89
1-1-2010 5:00,-2.8,99,2.2,4.5,314,OK,0,134.29,0,4,311,12.7,-2.89
1-1-2010 6:00,-3.3,98,2.2,6.3,320,OK,0,134.29,0,6,295,12.7,-3.61
1-1-2010 7:00,-3.9,98,3.1,6.7,307,OK,0,134.29,0,7,304,12.7,-4.17
1-1-2010 8:00,-4.4,98,1.8,5.4,323,OK,0,134.29,0,5,274,12.7,-4.72
1-1-2010 9:00,-4.4,97,2.7,6.3,314,OK,3,134.29,0,6,322,12.7,-4.83
1-1-2010 10:00,-4.4,96,2.7,6.3,309,OK,11,134.29,0,6,286,12.7,-5
1-1-2010 11:00,-5,95,3.1,5.4,311,OK,13,134.29,0,5,299,12.7,-5.67
1-1-2010 12:00,-5,95,2.7,5.4,311,OK,17,134.29,0,5,294,12.7,-5.67
1-1-2010 13:00,-5,94,2.2,5.4,305,OK,22,134.29,0,5,295,12.7,-5.83
1-1-2010 14:00,-6.1,92,2.7,5.8,313,OK,21,134.29,0,6,283,12.7,-7.22
1-1-2010 15:00,-8.3,91,2.2,5.8,316,OK,14,134.29,0,6,329,12.7,-9.56
1-1-2010 16:00,-10,88,2.7,6.3,310,OK,18,134.29,0,6,358,12.7,-11.61
1-1-2010 17:00,-11.1,90,2.2,6.3,318,OK,6,134.29,0,6,328,12.6,-12.44
1-1-2010 18:00,-11.7,89,2.7,5.8,325,OK,0,134.29,0,6,324,12.7,-13.11
1-1-2010 19:00,-11.7,89,3.1,7.2,322,OK,0,134.29,0,7,1,12.7,-13.11
1-1-2010 20:00,-12.2,89,2.2,4.9,326,OK,0,134.29,0,5,324,12.6,-13.67
1-1-2010 21:00,-12.8,89,1.8,4.9,330,OK,0,134.29,0,5,283,12.6,-14.22
1-1-2010 22:00,-12.8,88,2.2,5.4,322,OK,0,134.29,0,5,304,12.6,-14.33
1-1-2010 23:00,-12.8,88,2.2,5.8,321,OK,0,134.29,0,6,323,12.6,-14.33
1-2-2010 0:00,-12.8,88,2.2,4.9,324,OK,0,134.29,0,5,287,12.6,-14.33
1-2-2010 1:00,-12.8,88,2.2,6.3,318,OK,0,134.29,0,6,332,12.6,-14.33
1-2-2010 2:00,-13.3,88,2.2,5.4,322,OK,0,134.29,0,5,284,12.6,-14.89
1-2-2010 3:00,-13.9,87,3.6,6.7,319,OK,0,134.29,0,7,294,12.6,-15.56
1-2-2010 4:00,-14.4,86,3.1,6.3,324,OK,0,134.29,0,6,329,12.6,-16.28
1-2-2010 5:00,-14.4,86,2.2,5.8,327,OK,0,134.29,0,6,321,12.6,-16.28
1-2-2010 6:00,-14.4,86,2.7,4.9,329,OK,0,134.29,0,5,330,12.6,-16.28
1-2-2010 7:00,-15.6,85,2.2,4.9,328,OK,0,134.29,0,5,320,12.6,-17.5
1-2-2010 8:00,-15.6,85,2.7,6.3,327,OK,0,134.29,0,6,330,12.6,-17.5
1-2-2010 9:00,-15,83,2.7,6.3,325,OK,14,134.29,0,6,343,12.6,-17.22
1-2-2010 10:00,-14.4,81,2.7,6.3,327,OK,28,134.29,0,6,323,12.7,-17
1-2-2010 11:00,-15,80,3.1,7.6,327,OK,30,134.29,0,8,311,12.6,-17.67
1-2-2010 12:00,-13.9,78,3.1,6.3,330,OK,47,134.29,0,6,300,12.7,-16.89
1-2-2010 13:00,-13.9,77,3.1,7.2,324,OK,53,134.29,0,7,325,12.8,-17.06
1-2-2010 14:00,-13.9,79,3.6,6.7,321,OK,50,134.29,0,7,296,12.9,-16.72
1-2-2010 15:00,-14.4,80,3.1,7.6,318,OK,43,134.29,0,8,302,12.9,-17.11
1-2-2010 16:00,-16.1,81,4,6.7,320,OK,20,134.29,0,7,301,12.7,-18.61
1-2-2010 17:00,-16.7,84,3.1,6.7,323,OK,5,134.29,0,7,324,12.7,-18.72
1-2-2010 18:00,-16.7,83,3.6,5.8,323,OK,0,134.29,0,6,359,12.6,-18.89
1-2-2010 19:00,-17.2,83,3.6,7.2,324,OK,0,134.29,0,7,309,12.6,-19.39
1-2-2010 20:00,-17.2,83,3.1,7.2,323,OK,0,134.29,0,7,307,12.6,-19.39
1-2-2010 21:00,-17.2,82,3.6,6.7,322,OK,0,134.29,0,7,295,12.5,-19.56
1-2-2010 22:00,-17.2,82,4,7.6,321,OK,0,134.29,0,8,331,12.6,-19.56
1-2-2010 23:00,-17.8,81,4,6.7,322,OK,0,134.29,0,7,286,12.6,-20.22
1-3-2010 0:00,-17.8,82,2.7,6.3,322,OK,0,134.29,0,6,315,12.6,-20.11
1-3-2010 1:00,-18.3,81,3.1,7.2,325,OK,0,134.29,0,7,314,12.6,-20.78
1-3-2010 2:00,-18.3,82,2.7,7.2,320,OK,0,134.29,0,7,301,12.6,-20.61
1-3-2010 3:00,-18.3,82,2.7,6.7,324,OK,0,134.29,0,7,308,12.6,-20.61
1-3-2010 4:00,-18.3,81,4,9.4,328,OK,0,134.29,0,9,325,12.6,-20.78
1-3-2010 5:00,-18.9,81,3.1,6.7,324,OK,0,134.29,0,7,346,12.5,-21.33
1-3-2010 6:00,-19.4,80,3.1,6.3,328,OK,0,134.29,0,6,320,12.5,-22
1-3-2010 7:00,-20.6,79,3.1,7.2,322,OK,0,134.29,0,7,317,12.5,-23.22
1-3-2010 8:00,-20.6,79,2.7,5.8,324,OK,1,134.29,0,6,332,12.5,-23.22
1-3-2010 9:00,-20,79,2.7,7.2,322,OK,11,134.29,0,7,324,12.5,-22.67
1-3-2010 10:00,-17.8,77,3.1,7.2,321,OK,36,134.29,0,7,323,12.7,-20.83
1-3-2010 11:00,-15.6,73,2.7,6.3,314,OK,59,134.29,0,6,317,12.9,-19.28
1-3-2010 12:00,-14.4,73,3.1,5.8,312,OK,69,134.29,0,6,305,13.2,-18.22
1-3-2010 13:00,-14.4,73,3.1,7.2,318,OK,74,134.29,0,7,310,13.4,-18.22
1-3-2010 14:00,-15.6,77,3.1,7.2,312,OK,52,134.29,0,7,1,13.3,-18.67
1-3-2010 15:00,-16.1,79,3.1,7.6,311,OK,35,134.29,0,8,295,13.1,-18.89
1-3-2010 16:00,-16.7,81,2.7,6.3,318,OK,16,134.29,0,6,310,13,-19.17
1-3-2010 17:00,-17.2,83,2.7,6.3,321,OK,5,134.29,0,6,283,12.9,-19.39
1-3-2010 18:00,-17.2,83,2.7,6.3,318,OK,0,134.29,0,6,314,12.8,-19.39
1-3-2010 19:00,-16.7,83,3.1,6.7,317,OK,0,134.29,0,7,290,12.7,-18.89
1-3-2010 20:00,-16.7,84,2.7,7.2,319,OK,0,134.29,0,7,333,12.6,-18.72
1-3-2010 21:00,-16.7,84,3.1,6.3,319,OK,0,134.29,0,6,290,12.6,-18.72
1-3-2010 22:00,-16.7,84,2.7,5.8,323,OK,0,134.29,0,6,306,12.6,-18.72
1-3-2010 23:00,-16.1,84,2.7,6.3,318,OK,0,134.29,0,6,308,12.6,-18.17
1-4-2010 0:00,-16.1,84,3.1,5.8,325,OK,0,134.29,0,6,348,12.6,-18.17
1-4-2010 1:00,-16.1,84,2.7,6.7,319,OK,0,134.29,0,7,310,12.5,-18.17
1-4-2010 2:00,-16.1,84,2.7,5.4,320,OK,0,134.29,0,5,317,12.5,-18.17
1-4-2010 3:00,-16.1,85,2.7,5.8,318,OK,0,134.29,0,6,315,12.6,-18.06
